,title,videoId,viewCount,likeCount,dislikeCount,commentCount,videoDuration,Date
2,"by_by_sy_trndynG |  "" mkny lys fy lmTbkh"" sh`r Hml@ #ljzy'r lltDmn m` #rym DHy@ l`td",kzsANGsd_DY,10919,136,83,724,PT6M14S,2018-06-12T16:12:04.000Z
3,by_by_sy_trndynG | #`dnn_'wktr ld`y@ lslmy wnsw'h lrqSt fy qbD@ lshrT@ fy #trky,qsMpwPvU4Fc,477578,4345,728,1864,PT8M2S,2018-07-12T15:56:27.000Z
4,by_by_sy_trndynG | #frns tHSl `l~ lk's wmwqf Tryf@ khll nhy'y #k's_l`lm,EfzBJ6jaJVg,150321,1605,133,408,PT4M46S,2018-07-16T16:22:29.000Z
5,"BBC Arabic News /by by sy l`rby lkhbr lywmy  April 06, 2018",vSlEZ94Curw,86,0,0,0,PT5M37S,2018-04-06T03:32:34.000Z
6,by_by_sy_trndynG: tHdy kyky yTG~ `l~ mnSt ltwSl..wmdhy`@ trndynG tshrk fyh `l~ Tryqth,vK8VK0nlR88,7268,197,75,102,PT4M11S,2018-07-23T16:19:12.000Z
7,by by sy `rby tzwr mHfl lmswny@ fy bryTny,1_p29eVZq40,357849,4226,1008,1279,PT8M47S,2018-03-13T14:14:25.000Z
8,"`ly Swfn, `myl l'f by ay llbnny lSl, ytHdth `n mshrkth fy lHrb Dd lq`d@",_fdbqhHrbJc,667,13,4,3,PT10M3S,2018-07-23T06:07:41.000Z
9,by_by_sy_trndynG: GDb fy #lkwyt b`d ntqd mdwn@ tjmyl mnH l`mlt `Tl@ ywm wHd fy l'sbw`,A31S5PPCP1s,1340,23,7,13,PT6M3S,2018-07-23T16:00:54.000Z
10,by_by_sy_trndynG | m`lwmt l #by_by_sy tshyr l~ 'n #qTr qd tkwn df`t 'kbr fdy@ fy ltrykh,oTrjLX-VyaM,30953,332,109,218,PT6M42S,2018-07-18T16:26:08.000Z
11,by_by_sy_trndynG | tSryHt ny'b fy #lrdn `n lmlk w`qylth tthyr jdl fy lbld,EcJHeO5Ks34,83941,481,64,431,PT4M33S,2018-07-19T16:25:00.000Z
12,qn@ bbc l`rby@- ysrlhwr~-lry'ysy@ - BBC Arabic-shhd lbth lmbshr ltlfzywn by by sy-'khbr lshrq ,5YWKW5fm-5s,8742,6,14,0,PT5M,2017-06-23T17:16:26.000Z
13,Swr HSry@ lby by sy mn lm`rk lty 'dt l~ mqtl `l~ `bd llh SlH,8MUtWTR9AWM,653604,2654,584,663,PT5M17S,2018-01-06T17:00:23.000Z
14,by by sy tltqy Hd~ zwjt `nSr tnZym ldwl@,-qQEANYK_eA,352550,803,262,317,PT4M9S,2017-07-26T11:49:40.000Z
15,l`r 'wnlyn: fkh ljns `l~ lntrnt,zfuL-0dLkxY,122787,166,32,47,PT4M57S,2016-10-27T10:11:45.000Z
16,by_by_sy_trndynG | Swr@ sylfy l'bw tryk@ m` mshj` sry'yly ttHwl `l~ twytr l~ #tTby`_ryDy,d2ag0ryfJAM,176481,2615,166,827,PT4M43S,2018-07-04T16:30:26.000Z
17,by_by_sy_trndynG: lmdh 'jlt #sry'yl '`D lkhwdh lbyD mn lqnyTr@ lswry@?,9cjmX_i6uso,914,11,3,9,PT5M52S,2018-07-23T16:02:49.000Z
18,#by_by_sy_trndynG | SHb Hml@ #kn_rjl  yfsr sbb wqwfh Dd lbs #lns thyb fDH@,k2UZzhVmItI,20515,302,61,333,PT7M56S,2018-07-18T16:26:42.000Z
19,tqryr tqw~ Hqy Hwl khryjt kly@ l`lm lqn@ BBC `rby,_JSgGSJvMP0,2755,50,2,15,PT4M16S,2017-03-31T20:25:43.000Z
20,by_by_sy_trndynG | t`rfw `l~ qnwn ll`b lnZyf ldhy 'khrj #lsnGl w 'hl #lybn fy lmwndyl,XpAoRgydYYo,35995,572,36,147,PT4M6S,2018-06-29T16:31:08.000Z
21,hl Hq 'n lnjm lsbny nTwnyw bndyrs ynHdr mn Swl `rby@?,2ikWDl1zHCw,2545,44,6,8,PT10M4S,2018-07-19T12:40:12.000Z
22,by_by_sy_trndynG | qS@ by by sy `rby b`d 80 `m `l~ t'sysh,03UcLJVDJQk,12439,330,13,43,PT7M37S,2018-01-29T16:16:09.000Z
